bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,url,watch_model,water_resistance
stainless steel link bracelet,39.5,stainless steel,sapphire,silver-toned metallic with printed index,men's,Out of Stock,0607462,Swiss automatic movement,No,"$1,395.00",,https://www.movado.com/us/en/shop-watches/1881-automatic-0607462.html,1881 Automatic,30 meters
stainless steel link bracelet,40,stainless steel and aluminum,sapphire,black with printed index,men's,Out of Stock,2600152,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/series-800-2600152.html,Series 800,200 meters
,42,yellow gold ion-plated stainless steel,sapphire,green with printed index,men's,Out of Stock,3650062,Swiss quartz chronograph movement,No,$850.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650062.html,Movado Heritage Series,5 ATM
,40,stainless steel rose gold PVD,sapphire,black Museum with concave dot,men's,Out of Stock,0607272,Swiss quartz movement,No,$595.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-classic-0607272.html,Museum Classic,30 meters
,40,black PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,Out of Stock,0607430,Swiss quartz movement,No,$695.00,black calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607430.html,Modern 47,30 meters
,42,grey ion-plated stainless steel,sapphire,black with printed index,men's,Out of Stock,3650060,Swiss quartz chronograph movement,No,$850.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650060.html,Movado Heritage Series,5 ATM
stainless steel link bracelet,40,stainless steel and aluminum,sapphire,green with printed index,men's,Out of Stock,2600136,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/series-800-2600136.html,Series 800,200 meters
stainless steel link bracelet,39.5,stainless steel,sapphire,black with printed index,men's,Out of Stock,0607461,Swiss automatic movement,No,"$1,395.00",,https://www.movado.com/us/en/shop-watches/1881-automatic-0607461.html,1881 Automatic,30 meters
,40,stainless steel,sapphire,black with printed index,men's,Out of Stock,3650001,Swiss quartz movement,No,$595.00,cognac leather,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650001.html,Movado Heritage Series,3 ATM
,40,carnation gold ion-plated stainless steel,Gorilla Glass,,Unisex,Out of Stock,3660023,Smart module,No,$550.00,pink leather,https://www.movado.com/us/en/shop-watches/40mm-movado-connect-2.0-3660023.html,40mm Movado Connect 2.0,IPX8 / 1 ATM
stainless steel link bracelet,36,stainless steel,K1,Silver and white Museum with flat dot,women's,Out of Stock,3600334,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600334.html,Movado BOLD Metals,3 ATM
light gold ion-plated stainless steel mesh bracelet,40,light gold ion-plated stainless steel,Gorilla Glass,,Unisex,Out of Stock,3660026,Smart module,No,$695.00,,https://www.movado.com/us/en/shop-watches/40mm-movado-connect-2.0-3660026.html,40mm Movado Connect 2.0,IPX8 / 1 ATM
TR90 composite material and stainless steel link bracelet,42,TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,Out of Stock,3600047,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600047.html,Movado BOLD TR90,30 meters
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,unisex,Out of Stock,3600306,Swiss quartz movement,No,$395.00,black Colorado leather,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600306.html,Movado BOLD TR90,3 ATM
,42.3,blue ion-plated stainless steel,K1,black with applied markers,men's,In Stock,3600626,Swiss quartz movement,No,$595.00,black silicone,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600626.html,Movado BOLD Fusion,3 ATM
stainless steel link bracelet,40,stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607199,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607199.html,Museum Classic,30 meters
,42,black ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660029,Smart module,No,$550.00,black leather,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660029.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
stainless steel and yellow PVD link bracelet,40,stainless steel and yellow PVD,sapphire,black Museum with concave dot,men's,In Stock,0607200,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607200.html,Museum Classic,30 meters
stainless steel mesh bracelet,41,blue ion-plated stainless steel,K1,blue Museum with concave dot,men's,In Stock,3640009,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640009.html,Movado Face,3 ATM
,40,grey mid PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607391,Swiss quartz movement,No,$695.00,black calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607391.html,Modern 47,30 meters
light gold ion-plated stainless steel link bracelet,42,light gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660036,Smart module,No,$795.00,,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660036.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
stainless steel mesh bracelet,41,yellow gold ion-plated stainless steel,K1,gold-toned metallic Museum with concave dot,men's,In Stock,3640007,Swiss quartz movement,No,$450.00,,https://www.movado.com/us/en/shop-watches/movado-face-3640007.html,Movado Face,3 ATM
stainless steel bangle bracelet,27,stainless steel,K1,white mother-of-pearl Museum with concave dot,women's,In Stock,0607361,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/amika-0607361.html,Amika,30 meters
,34,beige gold ion-plated stainless steel,K1,beige Museum with flat dot,Women's,In Stock,3600646,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$450.00,grey leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600646.html,Movado BOLD Evolution,3 ATM
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600600,Swiss quartz movement,No,$450.00,cognac Colorado leather,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600600.html,Movado BOLD TR90,3 ATM
,40,stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607262,Swiss quartz movement,No,$595.00,black calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607262.html,Modern 47,30 meters
stainless steel and carnation PVD bangle bracelet,27,carnation PVD-finished stainless steel,K1,white mother-of-pearl Museum with concave dot,women's,In Stock,0607363,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/amika-0607363.html,Amika,30 meters
yellow gold ion-plated stainless steel link bracelet,42.5,yellow gold ion-plated stainless steel,K1,gold-toned metallic with printed index,men's,In Stock,3600258,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600258.html,Movado BOLD Metals,3 ATM
,40,light gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660024,Smart module,No,$550.00,light grey leather,https://www.movado.com/us/en/shop-watches/40mm-movado-connect-2.0-3660024.html,40mm Movado Connect 2.0,IPX8 / 1 ATM
yellow PVD-finished stainless steel link bracelet,40,yellow PVD-finished stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607203,Swiss quartz movement,No,"$1,195.00",,https://www.movado.com/us/en/shop-watches/museum-classic-0607203.html,Museum Classic,30 meters
pale gold ion-plated stainless steel mesh bracelet,34,pale gold ion-plated stainless steel,K1,light gold Museum with crystal set dot,Women's,In Stock,3600699,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600699.html,Movado BOLD Evolution,3 ATM
,40,yellow PVD-finished stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607271,Swiss quartz movement,No,$595.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-classic-0607271.html,Museum Classic,30 meters
black ion-plated stainless steel link bracelet,42,black ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660037,Smart module,No,$795.00,,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660037.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
,42,black ion-plated stainless steel,K1,black with Arabic index,men's,In Stock,3600695,Swiss quartz movement,No,$595.00,grey leather,https://www.movado.com/us/en/shop-watches/movado-bold-verso-3600695.html,Movado BOLD Verso,3 ATM
,40,black ion-plated stainless steel,K1,gold-toned metallic unadorned,men's,In Stock,3600676,Swiss quartz movement,No,$595.00,black leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600676.html,Movado BOLD Evolution,3 ATM
,40,carnation gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660025,Smart module,No,$495.00,pink sand fabric,https://www.movado.com/us/en/shop-watches/40mm-movado-connect-2.0-3660025.html,40mm Movado Connect 2.0,IPX8 / 1 ATM
carnation gold ion-plated stainless steel bangle bracelet,28,carnation gold ion-plated stainless steel,K1,carnation gold mother-of-pearl Museum with crystal-set dot,women's,In Stock,3600628,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/movado-bold-bangle-3600628.html,Movado BOLD Bangle,3 ATM
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600305,Swiss quartz movement,No,$395.00,cognac Colorado leather,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600305.html,Movado BOLD TR90,3 ATM
yellow gold ion-plated stainless steel mesh bracelet,42,yellow gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,men's,In Stock,3600588,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600588.html,Movado BOLD Thin,3 ATM
pale gold ion-plated stainless steel mesh bracelet,34,pale gold ion-plated stainless steel,K1,light gold Museum with flat dot,Women's,In Stock,3600656,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-shimmer-3600656.html,Movado BOLD Shimmer,3 ATM
black ion-plated stainless steel link bracelet,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600538,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600538.html,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,35,stainless steel,K1,silver white Museum with flat dot,women's,In Stock,3600595,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600595.html,Movado BOLD Thin,3 ATM
stainless steel rose gold PVD link bracelet,26,stainless steel rose gold PVD,sapphire,black Museum with concave dot,women's,In Stock,0607064,Swiss automatic movement,No,"$1,995.00",,https://www.movado.com/us/en/shop-watches/red-label-0607064.html,Red Label,30 meters
stainless steel and yellow PVD link bracelet,26,stainless steel and yellow PVD,sapphire,black Museum with concave dot,women's,In Stock,0607011,Swiss automatic movement,No,"$1,895.00",,https://www.movado.com/us/en/shop-watches/red-label-0607011.html,Red Label,30 meters
yellow gold ion-plated stainless steel link bracelet,31,yellow gold ion-plated stainless steel,sapphire,Silver and white with printed index,women's,In Stock,3650038,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650038.html,Movado Heritage Series,5 ATM
yellow PVD-finished stainless steel mesh bracelet,28,yellow PVD-finished stainless steel with diamonds,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607307,Swiss quartz movement,No,"$1,995.00",,https://www.movado.com/us/en/shop-watches/museum-classic-0607307.html,Museum Classic,30 meters
yellow PVD-finished stainless steel link bracelet,,yellow PVD-finished stainless steel,sapphire,black with a single cabochon marker,women's,In Stock,0607189,Swiss quartz movement,No,"$1,295.00",,https://www.movado.com/us/en/shop-watches/la-nouvelle-0607189.html,La Nouvelle,30 meters
stainless steel link bracelet,31,stainless steel,sapphire,Silver and white with printed index,women's,In Stock,3650069,Swiss quartz movement,No,"$1,395.00",,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650069.html,Movado Heritage Series,3 ATM
stainless steel link bracelet,,stainless steel with diamonds,sapphire,black with a single cabochon marker,women's,In Stock,0607190,Swiss quartz movement,No,"$1,795.00",,https://www.movado.com/us/en/shop-watches/la-nouvelle-0607190.html,La Nouvelle,30 meters
yellow gold ion-plated stainless steel link bracelet,34,yellow gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,women's,In Stock,3600502,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-shimmer-3600502.html,Movado BOLD Shimmer,3 ATM
,42,grey and black PVD-finished stainless steel,sapphire,black with printed index,men's,In Stock,0607264,Swiss quartz movement,No,$795.00,green calfskin,https://www.movado.com/us/en/shop-watches/museum-sport-0607264.html,Museum Sport,30 meters
gunmetal ion-plated stainless steel link bracelet,44,gunmetal ion-plated stainless steel,K1,gunmetal with printed index,men's,In Stock,3600277,Swiss quartz chronograph movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600277.html,Movado BOLD Metals,30 meters
stainless steel link bracelet,43,stainless steel,sapphire,black with printed index,men's,In Stock,0607239,Swiss quartz chronograph movement,No,"$1,995.00",,https://www.movado.com/us/en/shop-watches/sapphire-0607239.html,Sapphire,30 meters
stainless steel mesh bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600579,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/movado-bold-shimmer-3600579.html,Movado BOLD Shimmer,3 ATM
carnation gold ion-plated stainless steel mesh bracelet,36,carnation gold ion-plated stainless steel,sapphire,white mother-of-pearl with printed index,women's,In Stock,3650090,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650090.html,Movado Heritage Series,3 ATM
stainless steel link bracelet,32,two-tone stainless steel,K1,silver white with Roman index,women's,In Stock,3600592,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-luxe-3600592.html,Movado BOLD Luxe,3 ATM
stainless steel mesh bracelet,28,stainless steel,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607350,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607350.html,Museum Classic,30 meters
