bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,watch_model,water_resistance
stainless steel and carnation PVD bangle bracelet,27,carnation PVD-finished stainless steel,K1,white mother-of-pearl Museum with concave dot,women's,In Stock,0607363,Swiss quartz movement,No,$795.00,,Amika,30 meters
,40,ion-plated pale gold tone steel,K1,light gold Museum with flat dot,men's,In Stock,3600692,Swiss quartz movement,No,$495.00,grey waxed canvas,Movado BOLD Evolution,3 ATM
,42.5,bronze ion-plated stainless steel,K1,bronze with printed index,men's,In Stock,3600672,Swiss quartz movement,No,$595.00,grey leather,Movado BOLD Metals,3 ATM
,42.3,blue ion-plated stainless steel,K1,black with applied markers,men's,In Stock,3600626,Swiss quartz movement,No,$595.00,black silicone,Movado BOLD Fusion,3 ATM
stainless steel bangle bracelet,27,stainless steel,K1,white mother-of-pearl Museum with concave dot,women's,In Stock,0607361,Swiss quartz movement,No,$695.00,,Amika,30 meters
blue ion-plated stainless steel link bracelet,42,blue ion-plated stainless steel,K1,blue with printed index,men's,In Stock,3600683,Swiss quartz chronograph movement,No,$895.00,,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,44.5,stainless steel with tungsten carbide bezel,sapphire,anthracite grey with printed index,men's,In Stock,0607380,Swiss quartz chronograph movement,No,"$2,295.00",,Vizio,30 meters
pale rose gold ion-plated stainless steel mesh bracelet,34,pale rose gold ion-plated stainless steel,K1,carnation gold Museum with flat dot,Women's,In Stock,3600654,Swiss quartz movement,No,$550.00,,Movado BOLD Evolution,3 ATM
gunmetal ion-plated stainless steel link bracelet,42.5,gunmetal ion-plated stainless steel,K1,gunmetal with crystal museum with flat dot,men's,In Stock,3600664,Swiss quartz movement,No,$895.00,,Movado BOLD Metals,3 ATM
stainless steel and rose gold PVD bangle bracelet,27,stainless steel,sapphire,rose gold silver-toned metallic Museum with concave dot,women's,In Stock,0607151,Swiss quartz movement,No,$595.00,,Aleena,30 meters
,34,beige gold ion-plated stainless steel,K1,beige Museum with flat dot,Women's,In Stock,3600646,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$450.00,grey leather,Movado BOLD Evolution,3 ATM
,42.5,grey ion-plated stainless steel,K1,grey with printed index,men's,In Stock,3600673,Swiss quartz movement,No,$595.00,blue leather,Movado BOLD Metals,3 ATM
light gold ion-plated stainless steel and beige ceramic link bracelet,36,light gold ion-plated stainless steel,K1,beige Museum with crystal-set dot,women's,In Stock,3600640,Swiss quartz movement,No,$695.00,,Movado BOLD Ceramic,3 ATM
,42,black ion-plated stainless steel,K1,black with Arabic index,men's,In Stock,3600696,Swiss quartz movement,No,$595.00,black leather,Movado BOLD Verso,3 ATM
stainless steel link bracelet,39.5,stainless steel,sapphire,black with printed index,men's,In Stock,0607461,Swiss automatic movement,No,"$1,395.00",,1881 Automatic,30 meters
yellow gold ion-plated stainless steel link bracelet,42.5,yellow gold ion-plated stainless steel,K1,gold-toned metallic with crystal museum with flat dot,men's,In Stock,3600665,Swiss quartz movement,No,$895.00,,Movado BOLD Metals,3 ATM
stainless steel link bracelet,32,stainless steel,K1,silver white with crystal pavé,Women's,In Stock,3600658,Swiss quartz movement,No,$595.00,,Movado BOLD Luxe,3 ATM
stainless steel link bracelet,38,stainless steel,K1,pink with printed index,women's,In Stock,3640047,Swiss quartz chronograph movement,No,$650.00,,Movado Face,3 ATM
stainless steel and yellow PVD bangle bracelet,27,stainless steel,sapphire,yellow gold silver-toned metallic Museum with concave dot,women's,In Stock,0607150,Swiss quartz movement,No,$595.00,,Aleena,30 meters
,40,grey mid PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607391,Swiss quartz movement,No,$695.00,black calfskin,Modern 47,30 meters
stainless steel and light yellow PVD bangle bracelet,27,light yellow PVD-finished stainless steel,K1,white mother-of-pearl Museum with concave dot,women's,In Stock,0607362,Swiss quartz movement,No,$795.00,,Amika,30 meters
stainless steel and light yellow PVD link bracelet,28,stainless steel and light yellow PVD with diamonds,sapphire,white mother-of-pearl with printed index,Women's,In Stock,0607326,Swiss quartz movement,No,"$1,595.00",,Kora,30 meters
grey ion-plated stainless steel link bracelet,42,grey ion-plated stainless steel,K1,grey with printed index,men's,In Stock,3600685,Swiss quartz chronograph movement,No,$895.00,,Movado BOLD Evolution,3 ATM
pale rose gold ion-plated stainless steel link bracelet,34,pale rose gold ion-plated stainless steel,K1,chocolate Museum with crystal set dot,Women's,In Stock,3600690,Swiss quartz movement,No,$695.00,,Movado BOLD Evolution,3 ATM
,42,black ion-plated stainless steel,K1,black with Arabic index,men's,In Stock,3600695,Swiss quartz movement,No,$595.00,grey leather,Movado BOLD Verso,3 ATM
,44.5,pale gold ion-plated stainless steel,K1,black with printed index,unisex,In Stock,3600712,Swiss quartz chronograph movement,No,$795.00,black silicone,Movado BOLD Fusion,3 ATM
,40,light yellow gold PVD-finished stainless steel,sapphire,white Museum with flat dot,unisex,In Stock,0607508,Swiss quartz movement,No,$695.00,white calfskin,Modern 47,30 meters
,34,grey ion-plated 2 stainless steel,K1,grey Museum with flat dot,Women's,In Stock,3600644,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$450.00,blue grey leather,Movado BOLD Evolution,3 ATM
,40,black ion-plated stainless steel,K1,gold-toned metallic unadorned,men's,In Stock,3600676,Swiss quartz movement,No,$595.00,black leather,Movado BOLD Evolution,3 ATM
,40,pale rose gold PVD-finished stainless steel,sapphire,pink Museum with flat dot,unisex,In Stock,0607501,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,pink calfskin,Modern 47,30 meters
,39.5,stainless steel,sapphire,black with printed index,men's,In Stock,0607453,Swiss automatic movement,No,"$1,095.00",black calfskin,1881 Automatic,30 meters
white ceramic link bracelet,36,white ceramic and light gold ion-plated stainless steel,K1,white Museum with flat dot,Women's,In Stock,3600710,Swiss quartz movement,No,$650.00,,Movado BOLD Evolution,3 ATM
black ion-plated stainless steel link bracelet,40,black ion-plated stainless steel,K1,black unadorned,men's,In Stock,3600677,Swiss quartz movement,No,$795.00,,Movado BOLD Evolution,3 ATM
,34,carnation gold ion-plated stainless steel,K1,carnation gold Museum with flat dot,Women's,In Stock,3600643,Swiss quartz movement,No,$450.00,grey leather,Movado BOLD Evolution,3 ATM
black ion-plated stainless steel mesh bracelet,34,black ion-plated stainless steel,K1,black Museum with crystal set dot,Women's,In Stock,3600714,Swiss quartz movement,No,$650.00,,Movado BOLD Evolution,3 ATM
,42.3,stainless steel,K1,black with applied markers,men's,In Stock,3600624,Swiss quartz movement,No,$595.00,black silicone,Movado BOLD Fusion,3 ATM
,34,khaki ion-plated stainless steel,K1,khaki Museum with flat dot,Women's,In Stock,3600645,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$450.00,vachetta leather,Movado BOLD Evolution,3 ATM
,42.3,ionic light gold plated steel,K1,black with applied markers,men's,In Stock,3600623,Swiss quartz movement,No,$595.00,black silicone,Movado BOLD Fusion,3 ATM
yellow gold ion-plated stainless steel link bracelet,32,yellow gold ion-plated stainless steel,K1,gold-toned metallic with Roman index with swarovski pavé,Women's,In Stock,3600659,Swiss quartz movement,No,$695.00,,Movado BOLD Luxe,3 ATM
stainless steel link bracelet,32,stainless steel,K1,silver white with Roman index with swarovski pavé,Women's,In Stock,3600660,Swiss quartz movement,No,$650.00,,Movado BOLD Luxe,3 ATM
stainless steel mesh bracelet,36,stainless steel,sapphire,white mother-of-pearl with printed index,Women's,In Stock,3650104,Swiss Quartz Multifunction Movement,No,$850.00,,Movado Heritage Series,3 ATM
pale gold ion-plated stainless steel mesh bracelet,34,pale gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,Women's,In Stock,3600653,Swiss quartz movement,No,$550.00,,Movado BOLD Evolution,3 ATM
,40,stainless steel,Gorilla Glass,,Unisex,In Stock,3660022,Smart module,No,$550.00,black leather,40mm Movado Connect 2.0,IPX8 / 1 ATM
,40,light gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660024,Smart module,No,$550.00,light grey leather,40mm Movado Connect 2.0,IPX8 / 1 ATM
,42,stainless steel,Gorilla Glass,,Unisex,In Stock,3660030,Smart module,No,$495.00,navy velcro fabric,42mm Movado Connect 2.0,IPX8 / 1 ATM
stainless steel mesh bracelet,28,stainless steel,sapphire,white mother-of-pearl with diamonds,Women's,In Stock,0607491,Swiss quartz movement,No,$995.00,,Museum Classic,30 meters
yellow gold ion-plated stainless steel link bracelet,39,yellow gold ion-plated stainless steel,sapphire,navy with printed index,men's,In Stock,3650105,Swiss quartz movement,No,$895.00,,Movado Heritage Series,5 ATM
stainless steel with diamonds bangle bracelet,25,stainless steel,sapphire,black Museum with concave dot,Women's,In Stock,0607471,Swiss quartz movement,No,$995.00,,Esperanza,30 meters
two-tone stainless steel link bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600651,Swiss quartz movement,No,$595.00,,Movado BOLD Evolution,3 ATM
light gold 2 ion-plated stainless steel link bracelet,38,light gold 2 ion-plated stainless steel,K1,optic white with printed index,women's,In Stock,3640049,Swiss quartz chronograph movement,No,$650.00,,Movado Face,3 ATM
stainless steel and yellow PVD bangle bracelet,25,stainless steel and yellow PVD,sapphire,black Museum with concave dot,Women's,In Stock,0607472,Swiss quartz movement,No,$695.00,,Esperanza,30 meters
blush ceramic link bracelet,36,blush ceramic and stainless steel,K1,blush Museum with flat dot,Women's,In Stock,3600709,Swiss quartz movement,No,$650.00,,Movado BOLD Evolution,3 ATM
pale gold ion-plated stainless steel link bracelet,34,pale gold ion-plated stainless steel,K1,gold-toned metallic Museum with crystal set dot,Women's,In Stock,3600649,Swiss quartz movement,No,$695.00,,Movado BOLD Evolution,3 ATM
,40,light yellow gold PVD-finished stainless steel,sapphire,white Museum with flat dot,unisex,In Stock,0607502,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,white calfskin,Modern 47,30 meters
stainless steel mesh bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600655,Swiss quartz movement,No,$595.00,,Movado BOLD Shimmer,3 ATM
carnation gold ion-plated stainless steel mesh bracelet,40,carnation gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660027,Smart module,No,$695.00,,40mm Movado Connect 2.0,IPX8 / 1 ATM
blue ion-plated stainless steel mesh bracelet,34,blue ion-plated stainless steel,K1,blue Museum with flat dot,Women's,In Stock,3600675,Swiss quartz movement,No,$550.00,,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,34,stainless steel,K1,silver-toned metallic Museum with crystal set dot,Women's,In Stock,3600698,Swiss quartz movement,No,$550.00,,Movado BOLD Evolution,3 ATM
,40,carnation gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660025,Smart module,No,$495.00,pink sand fabric,40mm Movado Connect 2.0,IPX8 / 1 ATM
,42,gunmetal ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660031,Smart module,No,$495.00,black velcro fabric,42mm Movado Connect 2.0,IPX8 / 1 ATM
black ion-plated stainless steel link bracelet,42,black ion-plated stainless steel,K1,black with printed index,men's,In Stock,3600684,Swiss quartz chronograph movement,No,$895.00,,Movado BOLD Evolution,3 ATM
stainless steel link bracelet,42,stainless steel,sapphire,blue with printed index,men's,In Stock,3650101,Swiss quartz chronograph movement,No,$995.00,,Movado Heritage Series,5 ATM
yellow gold ion-plated stainless steel link bracelet,44,yellow gold ion-plated stainless steel,K1,gold-toned metallic with crystal museum with flat dot,men's,In Stock,3600667,Swiss quartz chronograph movement,No,"$1,095.00",,Movado BOLD Metals,3 ATM
stainless steel link bracelet,44,stainless steel,K1,white with crystal museum with flat dot,men's,In Stock,3600666,Swiss quartz chronograph movement,No,$995.00,,Movado BOLD Metals,3 ATM
navy ceramic link bracelet,36,navy blue ceramic and ion-plated pale rose gold stainless steel,K1,navy Museum with flat dot,Women's,In Stock,3600708,Swiss quartz movement,No,$650.00,,Movado BOLD Evolution,3 ATM
stainless steel mesh bracelet,42,stainless steel,Gorilla Glass,,Unisex,In Stock,3660032,Smart module,No,$695.00,,42mm Movado Connect 2.0,IPX8 / 1 ATM
,42,stainless steel,Gorilla Glass,,Unisex,In Stock,3660028,Smart module,No,$550.00,black leather,42mm Movado Connect 2.0,IPX8 / 1 ATM
stainless steel and blush ceramic link bracelet,36,stainless steel,K1,silver-toned metallic Museum with crystal-set dot,Women's,In Stock,3600702,Swiss quartz movement,No,$695.00,,Movado BOLD Ceramic,3 ATM
black ion-plated stainless steel mesh bracelet,42,black ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660034,Smart module,No,$695.00,,42mm Movado Connect 2.0,IPX8 / 1 ATM
black ion-plated stainless steel link bracelet,42,black ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660037,Smart module,No,$795.00,,42mm Movado Connect 2.0,IPX8 / 1 ATM
,43,grey and black PVD-finished stainless steel,sapphire,blue with printed index,men's,In Stock,0607360,Swiss quartz chronograph movement,No,$995.00,black calfskin,Museum Sport,30 meters
gunmetal ion-plated stainless steel link bracelet,43,gunmetal ion-plated stainless steel,sapphire,black with printed index,men's,In Stock,3650095,Swiss quartz movement,No,$950.00,,Movado Heritage Series,5 ATM
,43,bronze ion-plated stainless steel,sapphire,green with printed index,men's,In Stock,3650092,Swiss quartz movement,No,$695.00,chocolate leather,Movado Heritage Series,5 ATM
,43,stainless steel,sapphire,blue with printed index,men's,In Stock,3650093,Swiss quartz movement,No,$650.00,black leather,Movado Heritage Series,5 ATM
stainless steel link bracelet,43,stainless steel,sapphire,blue with printed index,men's,In Stock,3650094,Swiss quartz movement,No,$850.00,,Movado Heritage Series,5 ATM
stainless steel link bracelet,39,stainless steel,sapphire,blue with printed index,men's,In Stock,3650056,Swiss quartz movement,No,$795.00,,Movado Heritage Series,3 ATM
,39,stainless steel,sapphire,blue with printed index,men's,In Stock,3650057,Swiss quartz movement,No,$595.00,cognac leather,Movado Heritage Series,3 ATM
,40,grey mid PVD-finished stainless steel,sapphire,navy Museum with flat dot,men's,In Stock,0607392,Swiss quartz movement,No,$695.00,navy calfskin,Modern 47,30 meters
,42,blue ion-plated stainless steel,K1,blue Museum with flat dot,men's,Out of Stock,3600585,Swiss quartz movement,No,$495.00,brown nappa leather,Movado BOLD Thin,3 ATM
,42,black ion-plated stainless steel,K1,black Museum with flat dot,men's,Out of Stock,3600587,Swiss quartz movement,No,$495.00,black leather,Movado BOLD Thin,3 ATM
,42,grey ion-plated stainless steel,K1,grey Museum with flat dot,men's,In Stock,3600586,Swiss quartz movement,No,$495.00,blue napa leather,Movado BOLD Thin,3 ATM
stainless steel link bracelet,31,stainless steel,sapphire,Silver and white with printed index,women's,In Stock,3650069,Swiss quartz movement,No,"$1,395.00",,Movado Heritage Series,3 ATM
yellow gold ion-plated stainless steel link bracelet,32,yellow gold ion-plated stainless steel,K1,gold-toned metallic with Roman index,women's,In Stock,3600591,Swiss quartz movement,No,$650.00,,Movado BOLD Luxe,3 ATM
stainless steel link bracelet,32,two-tone stainless steel,K1,silver white with Roman index,women's,In Stock,3600592,Swiss quartz movement,No,$595.00,,Movado BOLD Luxe,3 ATM
stainless steel link bracelet,32,stainless steel,K1,silver white with Roman index,women's,In Stock,3600590,Swiss quartz movement,No,$550.00,,Movado BOLD Luxe,3 ATM
gunmetal ion-plated stainless steel mesh bracelet,43,gunmetal ion-plated stainless steel,sapphire,black with printed index,men's,In Stock,3650100,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$895.00,,Movado Heritage Series,3 ATM
black ion-plated stainless steel mesh bracelet,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600562,Swiss quartz movement,No,$595.00,,Movado BOLD Evolution,3 ATM
grey ion-plated stainless steel mesh bracelet,40,grey ion-plated stainless steel,K1,grey Museum with flat dot,men's,In Stock,3600561,Swiss quartz movement,No,$595.00,,Movado BOLD Evolution,3 ATM
two-tone stainless steel link bracelet,30,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600551,Swiss quartz movement,No,$550.00,,Movado BOLD Metals,3 ATM
,40,blue ion-plated stainless steel,K1,blue Museum with flat dot,unisex,In Stock,3600520,Swiss quartz movement,No,$495.00,cognac leather,Movado BOLD Evolution,3 ATM
,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600524,Swiss quartz movement,No,$495.00,green leather,Movado BOLD Evolution,3 ATM
,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600525,Swiss quartz movement,No,$495.00,red leather,Movado BOLD Evolution,3 ATM
