bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,watch_model,water_resistance
grey ion-plated stainless steel mesh bracelet,42,grey ion-plated stainless steel,K1,grey Museum with flat dot,men's,In Stock,3600599,Swiss quartz movement,No,$595.00,,Movado BOLD Thin,3 ATM
stainless steel mesh bracelet,42,stainless steel,K1,silver white Museum with flat dot,men's,In Stock,3600589,Swiss quartz movement,No,$495.00,,Movado BOLD Thin,3 ATM
stainless steel mesh bracelet,28,stainless steel,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607350,Swiss quartz movement,No,$795.00,,Museum Classic,30 meters
carnation PVD-finished stainless steel mesh bracelet,28,carnation PVD-finished stainless steel,sapphire,black mother-of-pearl Museum with concave dot,women's,In Stock,0607426,Swiss quartz movement,No,$995.00,,Museum Classic,30 meters
pink ceramic link bracelet,36.3,stainless steel and pink ceramic,K1,pink crystal Museum with flat dot,women's,In Stock,3600536,Swiss quartz movement,No,$695.00,,Movado BOLD Ceramic,3 ATM
black ceramic link bracelet,36.3,stainless steel and black ceramic,K1,black crystal Museum with flat dot,women's,In Stock,3600535,Swiss quartz movement,No,$695.00,,Movado BOLD Ceramic,3 ATM
white ceramic link bracelet,36.3,stainless steel and white ceramic,K1,Silver and white crystal Museum with flat dot,women's,In Stock,3600534,Swiss quartz movement,No,$695.00,,Movado BOLD Ceramic,3 ATM
stainless steel mesh bracelet,40,stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607219,Swiss quartz movement,No,$795.00,,Museum Classic,30 meters
black PVD-finished stainless steel mesh bracelet strap,40,black PVD-finished stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607395,Swiss quartz movement,No,$995.00,,Museum Classic,30 meters
yellow PVD-finished stainless steel mesh bracelet,40,yellow PVD-finished stainless steel,sapphire,black Museum with concave dot,men's,In Stock,0607396,Swiss quartz movement,No,$995.00,,Museum Classic,30 meters
pale rose gold ion-plated stainless steel mesh bracelet,34,pale rose gold ion-plated stainless steel,K1,carnation gold Museum with flat dot,Women's,In Stock,3600657,Swiss quartz movement,No,$795.00,,Movado BOLD Shimmer,3 ATM
pale gold ion-plated stainless steel link bracelet,34,pale gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,Women's,In Stock,3600648,Swiss quartz movement,No,$650.00,,Movado BOLD Evolution,3 ATM
,42,black ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660029,Smart module,No,$550.00,black leather,42mm Movado Connect 2.0,IPX8 / 1 ATM
light gold ion-plated stainless steel link bracelet,42,light gold ion-plated stainless steel,Gorilla Glass,,Unisex,In Stock,3660036,Smart module,No,$795.00,,42mm Movado Connect 2.0,IPX8 / 1 ATM
light gold ion-plated stainless steel mesh bracelet,40,light gold ion-plated stainless steel,Gorilla Glass,,Unisex,Out of Stock,3660026,Smart module,No,$695.00,,40mm Movado Connect 2.0,IPX8 / 1 ATM
,40,black PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607431,Swiss quartz movement,No,$695.00,black calfskin,Modern 47,30 meters
ionic light gold plated stainless steel mesh bracelet,40,ionic light gold plated stainless steel,K1,light gold Museum with flat dot,men's,In Stock,3600560,Swiss quartz movement,No,$595.00,,Movado BOLD Evolution,3 ATM
