code,price,product,q_count,rev_count,seller,star,url
"







3600441



",$360.00,Movado Women s Swiss Quartz ROSEGOLD Plated Casual Watch Model 3600441,,11 ratings,Pass the Watch,4.3 out of 5 stars,https://www.amazon.com/Movado-Quartz-ROSEGOLD-Plated-3600441/dp/B01N11ROR2/ref=sr_1_20?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-20
"







2100004



",$218.01,Movado Women's Museum Watch,"
7 answered questions
",45 ratings,Watchsavings,4.0 out of 5 stars,https://www.amazon.com/Movado-2100004-Womens-Museum-Watch/dp/B008FS8IAS/ref=sr_1_18?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-18
"







2100004



",$219.00,Movado Women's Museum Watch,"
7 answered questions
",45 ratings,Todays Deals,4.0 out of 5 stars,https://www.amazon.com/Movado-2100004-Womens-Museum-Watch/dp/B008FS8IAS/ref=sr_1_18?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-18
"







2100004



",$349.00,Movado Women's Museum Watch,"
7 answered questions
",45 ratings,Authenticwatchesoutlet,4.0 out of 5 stars,https://www.amazon.com/Movado-2100004-Womens-Museum-Watch/dp/B008FS8IAS/ref=sr_1_18?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-18
"







0607219



",$492.80,Movado Museum Stainless Steel Watch (Model: 0607219),"
4 answered questions
",35 ratings,Watchsavings,4.2 out of 5 stars,https://www.amazon.com/Movado-Mens-Core-Museum-Classic-Stainless/dp/B078XJDG5H/ref=sr_1_14?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-14
"







0607219



",$795.00,Movado Museum Stainless Steel Watch (Model: 0607219),"
4 answered questions
",35 ratings,Zappos,4.2 out of 5 stars,https://www.amazon.com/Movado-Mens-Core-Museum-Classic-Stainless/dp/B078XJDG5H/ref=sr_1_14?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-14
"







605746



",$295.90,Movado Men's 605746 Sport Silver/Black Stainless Steel Watch,"
9 answered questions
",10 ratings,Watchsavings,4.5 out of 5 stars,https://www.amazon.com/Movado-605746-Sport-Silver-Stainless/dp/B00FFA358O/ref=sr_1_10?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-10
"







3680010



",$398.00,Movado Edge Blue Aluminum Dial Swiss Quartz Chronograph Mens Watch 3680010,,1 rating,"Amijag Ecom, LLC",4.5 out of 5 stars,https://www.amazon.com/Movado-Aluminum-Quartz-Chronograph-3680010/dp/B06XHVYFV9/ref=sr_1_247?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-247
"







0606881



",$625.00,Movado Men's 0606881 Analog Display Swiss Quartz Silver Watch,,3 ratings,WatchMaxx,2.7 out of 5 stars,https://www.amazon.com/Movado-0606881-Analog-Display-Quartz/dp/B00VUFQXT6/ref=sr_1_9?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-9
"







0606881



",$625.00,Movado Men's 0606881 Analog Display Swiss Quartz Silver Watch,,3 ratings,WatchMaxx,2.7 out of 5 stars,https://www.amazon.com/Movado-0606881-Analog-Display-Quartz/dp/B00VUFQXT6/ref=sr_1_9?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-9
"







0607052



","$1,995.00","Movado Women's Esperanza Stainless Steel Watch with Diamond Accent Bezel, Silver/Black (607052)",,1 rating,Daily Fashion Craze,4.4 out of 5 stars,https://www.amazon.com/Movado-Womens-Quartz-Stainless-Casual/dp/B01H023HT6/ref=sr_1_265?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-265
"







3600641



",$375.00,"Movado Women's Bold Evolution Stainless Steel Quartz Watch with Leather Strap, Pink, 15 (Model: 3600641)",,,RM JEWELRY,4.6 out of 5 stars,https://www.amazon.com/Movado-Womens-Evolution-Stainless-Leather/dp/B00G1L023M/ref=sr_1_267?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-267
"







2100001



",$219.99,Museum Men's Watch,,6 ratings,Todays Deals,4.7 out of 5 stars,https://www.amazon.com/Movado-2100001-Museum-Mens-Watch/dp/B009REBTX2/ref=sr_1_7?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-7
"







2100001



",$219.99,Museum Men's Watch,,6 ratings,Watchsavings,4.7 out of 5 stars,https://www.amazon.com/Movado-2100001-Museum-Mens-Watch/dp/B009REBTX2/ref=sr_1_7?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-7
"







606367



",$399.00,Movado Men's Museum Watch Swiss Quartz Sapphire Crystal 606367,,8 ratings,Todays Deals,4.5 out of 5 stars,https://www.amazon.com/Movado-Museum-Sapphire-Crystal-606367/dp/B0047GNEHE/ref=sr_1_212?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-212
"







0607271



",$429.00,"Movado Men's Museum Yellow Gold Watch with Concave Dot Museum Dial, Gold/Black Strap (Model 607271)",,24 ratings,Platinum-Deals,4.5 out of 5 stars,https://www.amazon.com/Movado-Mens-Core-Museum-Classic/dp/B079YZ21JQ/ref=sr_1_5?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-5
"







0607271



",$535.50,"Movado Men's Museum Yellow Gold Watch with Concave Dot Museum Dial, Gold/Black Strap (Model 607271)",,24 ratings,Daily Fashion Craze,4.5 out of 5 stars,https://www.amazon.com/Movado-Mens-Core-Museum-Classic/dp/B079YZ21JQ/ref=sr_1_5?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-5
"







0607271



",$549.00,"Movado Men's Museum Yellow Gold Watch with Concave Dot Museum Dial, Gold/Black Strap (Model 607271)",,24 ratings,RM JEWELRY,4.5 out of 5 stars,https://www.amazon.com/Movado-Mens-Core-Museum-Classic/dp/B079YZ21JQ/ref=sr_1_5?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-5
"







2600136



",$945.00,"Movado Series 800, Stainless Steel Case, Green Dial, Stainless Steel Bracelet, Women, 2600136",,3 ratings,Daily Fashion Craze,5.0 out of 5 stars,https://www.amazon.com/Movado-Autom%C3%A1tico-Inoxidable-cuarzo-hombres/dp/B01C5KRTD8/ref=sr_1_16_sspa?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-16-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMURERldWNjZCVkJFJmVuY3J5cHRlZElkPUEwMzg5NTc1MVVDSTA3OUNSMVo5VCZlbmNyeXB0ZWRBZElkPUEwODU4NzYxMThQQjlUVURMQ1dWQyZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
"







3600388



",$419.20,"Movado Women's BOLD Iconic Metal Blue PVD Watch with a Flat Dot Sunray Dial, Blue (Model 3600388)",,13 ratings,Daily Fashion Craze,3.8 out of 5 stars,https://www.amazon.com/Movado-Womens-Swiss-Quartz-Stainless/dp/B01C5KRTJC/ref=sr_1_120?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-120
"







3600388



",$419.95,"Movado Women's BOLD Iconic Metal Blue PVD Watch with a Flat Dot Sunray Dial, Blue (Model 3600388)",,13 ratings,Todays Deals,3.8 out of 5 stars,https://www.amazon.com/Movado-Womens-Swiss-Quartz-Stainless/dp/B01C5KRTJC/ref=sr_1_120?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-120
"







3600388



",$645.00,"Movado Women's BOLD Iconic Metal Blue PVD Watch with a Flat Dot Sunray Dial, Blue (Model 3600388)",,13 ratings,RM JEWELRY,3.8 out of 5 stars,https://www.amazon.com/Movado-Womens-Swiss-Quartz-Stainless/dp/B01C5KRTJC/ref=sr_1_120?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-120
"







3600483



",$399.00,Movado Bold Black Dial Ladies Watch 3600483,"
5 answered questions
",19 ratings,AUTHENTICWATCHES COM,4.7 out of 5 stars,https://www.amazon.com/Movado-Black-Ladies-Watch-3600483/dp/B07GV3LZB9/ref=sr_1_140?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-140
"







3600607



",$399.00,"Movado Bold, Ionic Plated Blue Steel Case, Black Dial, Blue Steel Bracelet, Men, 3600607",,17 ratings,Todays Deals,4.6 out of 5 stars,https://www.amazon.com/Movado-Ionic-Plated-Bracelet-3600607/dp/B07QVPDK9Q/ref=sr_1_68?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-68
"







3600607



",$420.00,"Movado Bold, Ionic Plated Blue Steel Case, Black Dial, Blue Steel Bracelet, Men, 3600607",,17 ratings,Luxuryfreeshop,4.6 out of 5 stars,https://www.amazon.com/Movado-Ionic-Plated-Bracelet-3600607/dp/B07QVPDK9Q/ref=sr_1_68?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-68
"







2100002



",$240.99,Movado Men's 2100002 Museum Black Stainless Steel Watch,"
55 answered questions
",179 ratings,Watchsavings,4.5 out of 5 stars,https://www.amazon.com/Movado-2100002-Museum-Black-Stainless/dp/B008FS8I58/ref=sr_1_3?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-3
"







2100002



",$241.98,Movado Men's 2100002 Museum Black Stainless Steel Watch,"
55 answered questions
",179 ratings,Advance Buy,4.5 out of 5 stars,https://www.amazon.com/Movado-2100002-Museum-Black-Stainless/dp/B008FS8I58/ref=sr_1_3?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-3
"







3600510



",$434.50,Movado Evolution Blue Pvd Watch (Model: 3600510),,3 ratings,Watchsavings,5.0 out of 5 stars,https://www.amazon.com/Movado-Bold-Blue-Watch-3600510/dp/B07F15HXML/ref=sr_1_96?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-96
"







0607350



",$379.42,Movado Museum Classic Mother of Pearl Dial Ladies Watch 0607350,,3 ratings,Global Precious Brands LLC,2.5 out of 5 stars,https://www.amazon.com/Movado-Museum-0607350-Reloj-pulsera/dp/B07XDGKR8K/ref=sr_1_56?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-56
